"","x"
"791","Rnase12"
"792","Rnase2a"
"793","Rnase2b"
"794","Rnase4"
"795","Rnase6"
"796","Rs1"
"797","Rspry1"
"798","Saa1"
"799","Saa2"
"800","Saa3"
"801","Saa4"
"802","Sbsn"
"803","Sbspon"
"804","Scg2"
"805","Scg3"
"806","Scg5"
"807","Scgb1a1"
"808","Scgb1c1"
"809","Scn1b"
"810","Scpep1"
"811","Sct"
"812","Scube2"
"813","Scube3"
"814","Sdc4"
"815","Sdf2"
"816","Selenop"
"817","Sema3f"
"818","Sema3g"
"819","Serpina11"
"820","Serpina1a"
"821","Serpina1b"
"822","Serpina1c"
"823","Serpina1d"
"824","Serpina1e"
"825","Serpina3a"
"826","Serpina3b"
"827","Serpina3c"
"828","Serpina3f"
"829","Serpina3g"
"830","Serpina3i"
"831","Serpina3j"
"832","Serpina3k"
"833","Serpina3m"
"834","Serpina3n"
"835","Serpinf1"
"836","Serping1"
"837","Serpini1"
"838","Serpini2"
"839","Sfrp2"
"840","Sfrp4"
"841","Sftpb"
"842","Shbg"
"843","Shh"
"844","Siglec1"
"845","Slit2"
"846","Smgc"
"847","Smpdl3a"
"848","Sned1"
"849","Sod3"
"850","Sostdc1"
"851","Spaca3"
"852","Spaca5"
"853","Spag11b"
"854","Sparc"
"855","Sparcl1"
"856","Spata6"
"857","Spink13"
"858","Spink2"
"859","Spink4"
"860","Spink6"
"861","Spock3"
"862","Spp2"
"863","Spx"
"864","St3gal3"
"865","St3gal4"
"866","Stc1"
"867","Svep1"
"868","Svs1"
"869","Svs2"
"870","Svs3a"
"871","Svs3b"
"872","Tac1"
"873","Tac2"
"874","Tac4"
"875","Tafa1"
"876","Tafa3"
"877","Tafa5"
"878","Tcn2"
"879","Tctn1"
"880","Tectb"
"881","Tff1"
"882","Tff2"
"883","Tff3"
"884","Tfpi2"
"885","Tgfb1"
"886","Tgfb2"
"887","Tgfb3"
"888","Thbs4"
"889","Them6"
"890","Thpo"
"891","Thsd4"
"892","Timp2"
"893","Timp4"
"894","Tinagl1"
"895","Tll1"
"896","Tll2"
"897","Tmem25"
"898","Tnc"
"899","Tnf"
"900","Tnfrsf11b"
"901","Tnfrsf18"
"902","Tnfrsf19"
"903","Tnfrsf25"
"904","Tnfsf11"
"905","Tnfsf13b"
"906","Tor2a"
"907","Tpsab1"
"908","Tpsb2"
"909","Trem1"
"910","Trem2"
"911","Treml4"
"912","Trf"
"913","Trh"
"914","Tshb"
"915","Tsku"
"916","Tslp"
"917","Tulp2"
"918","Ucma"
"919","Ucn2"
"920","Ucn3"
"921","Ulbp1"
"922","Umod"
"923","Uts2"
"924","Uts2b"
"925","Vegfa"
"926","Vegfb"
"927","Vgf"
"928","Vip"
"929","Vmo1"
"930","Vnn3"
"931","Vstm2a"
"932","Vstm4"
"933","Vtn"
"934","Vwa1"
"935","Vwa3a"
"936","Vwa7"
"937","Vwce"
"938","Vwf"
"939","Wfdc1"
"940","Wfdc12"
"941","Wfdc13"
"942","Wfdc2"
"943","Wfdc3"
"944","Wfdc6b"
"945","Wfikkn1"
"946","Wfikkn2"
"947","Wif1"
"948","Wnt1"
"949","Wnt10b"
"950","Wnt11"
"951","Wnt16"
"952","Wnt2"
"953","Wnt4"
"954","Wnt5b"
"955","Xcl1"
"956","Zg16"
"957","Zp3"
"958","Zpbp2"
