"","x"
"466","NDNF"
"467","NECTIN1"
"468","NECTIN4"
"469","NELL2"
"470","NGF"
"471","NID2"
"472","NMS"
"473","NODAL"
"474","NOTUM"
"475","NPB"
"476","NPC2"
"477","NPFF"
"478","NPIPB15"
"479","NPNT"
"480","NPPA"
"481","NPPB"
"482","NPS"
"483","NPVF"
"484","NPW"
"485","NPY"
"486","NRG1"
"487","NTF3"
"488","NTN4"
"489","NYX"
"490","ODAM"
"491","OLFM1"
"492","OLFM4"
"493","OLFML2B"
"494","OLFML3"
"495","OLR1"
"496","OOSP2"
"497","OPRPN"
"498","ORM1"
"499","ORM2"
"500","OSM"
"501","OTOA"
"502","OTOGL"
"503","OTOL1"
"504","OTOS"
"505","OVCH2"
"506","OXT"
"507","PAPPA"
"508","PAPPA2"
"509","PATE1"
"510","PATE2"
"511","PATE4"
"512","PCDHA1"
"513","PCDHA10"
"514","PCSK1N"
"515","PCSK9"
"516","PDGFA"
"517","PDGFB"
"518","PDYN"
"519","PF4"
"520","PGC"
"521","PGF"
"522","PGLYRP1"
"523","PGLYRP2"
"524","PGLYRP3"
"525","PILRA"
"526","PINLYP"
"527","PIP"
"528","PLA2G12B"
"529","PLA2G15"
"530","PLA2G1B"
"531","PLA2G2E"
"532","PLA2R1"
"533","PLAC9"
"534","PLAUR"
"535","PMCH"
"536","PNLIP"
"537","PNLIPRP1"
"538","PNLIPRP2"
"539","PNLIPRP3"
"540","PNOC"
"541","POMC"
"542","PPY"
"543","PRADC1"
"544","PRAP1"
"545","PRF1"
"546","PRG2"
"547","PRG4"
"548","PRH1"
"549","PRLH"
"550","PRNT"
"551","PROC"
"552","PROK1"
"553","PROK2"
"554","PROS1"
"555","PROZ"
"556","PRR4"
"557","PRRG2"
"558","PRSS23"
"559","PRSS33"
"560","PRSS35"
"561","PRSS36"
"562","PRSS38"
"563","PRSS58"
"564","PSAPL1"
"565","PSG3"
"566","PSORS1C2"
"567","PSPN"
"568","PTGDS"
"569","PTH2"
"570","PTX3"
"571","PVR"
"572","PYY"
"573","PZP"
"574","QPCT"
"575","QRFP"
"576","QSOX1"
"577","RAET1E"
"578","RAET1G"
"579","RARRES2"
"580","RBP4"
"581","REG1B"
"582","REG4"
"583","RESP18"
"584","RETN"
"585","RETNLB"
"586","RNASE10"
"587","RNASE11"
"588","RNASE12"
"589","RNASE3"
"590","RNASE4"
"591","RNASE6"
"592","RNASE7"
"593","SAA1"
"594","SAA2"
"595","SAA4"
"596","SBSN"
"597","SCG2"
"598","SCGB1A1"
"599","SCGB1C1"
"600","SCGB1C2"
"601","SCGB1D2"
"602","SCN1B"
"603","SCT"
"604","SCUBE2"
"605","SDC4"
"606","SDF2"
"607","SELENOP"
"608","SEMA3F"
"609","SEMA3G"
"610","SEMG2"
"611","SERPINA1"
"612","SERPINA11"
"613","SERPINA3"
"614","SERPING1"
"615","SERPINI1"
"616","SERPINI2"
"617","SFRP2"
"618","SFRP4"
"619","SFTA3"
"620","SFTPB"
"621","SHBG"
"622","SHH"
"623","SIGLEC1"
"624","SIRPD"
"625","SLIT2"
"626","SMR3A"
"627","SMR3B"
"628","SNED1"
"629","SOD3"
"630","SOSTDC1"
"631","SPACA3"
"632","SPAG11A"
"633","SPAG11B"
"634","SPARC"
"635","SPARCL1"
"636","SPINK2"
"637","SPINK6"
"638","SPOCK3"
"639","ST3GAL3"
"640","ST3GAL4"
"641","STC1"
"642","TAC1"
"643","TAC4"
"644","TAFA1"
"645","TAFA3"
"646","TAFA5"
"647","TCTN1"
"648","TECTB"
"649","TF"
"650","TFF2"
"651","TFPI2"
"652","TGFB2"
"653","TGFB3"
"654","THBS4"
"655","THEM6"
"656","THPO"
"657","THSD4"
"658","TIMP2"
"659","TIMP4"
"660","TINAGL1"
"661","TLL1"
"662","TLL2"
"663","TMEM155"
"664","TMEM25"
"665","TNC"
"666","TNFRSF18"
"667","TNFRSF25"
"668","TNFSF11"
"669","TNFSF13B"
"670","TOR2A"
"671","TPSAB1"
"672","TPSD1"
"673","TREM1"
"674","TREML4"
"675","TRH"
"676","TSLP"
"677","UCMA"
"678","UCN2"
"679","UCN3"
"680","UMOD"
"681","UTS2"
"682","VEGFA"
"683","VEGFB"
"684","VGF"
"685","VIP"
"686","VMO1"
"687","VNN3"
"688","VSTM2A"
"689","VSTM4"
"690","VTN"
"691","VWA1"
"692","VWA3A"
"693","VWA7"
"694","VWCE"
"695","VWDE"
"696","VWF"
"697","WFDC12"
"698","WFDC2"
"699","WFDC6"
"700","WFIKKN1"
"701","WFIKKN2"
"702","WIF1"
"703","WNT1"
"704","WNT10B"
"705","WNT16"
"706","WNT2"
"707","WNT4"
"708","WNT5B"
"709","XCL1"
"710","XCL2"
"711","ZG16"
"712","ZP4"
"713","ZPBP2"
