"","x"
"428","CLDN9"
"429","CLDND1"
"430","CLEC10A"
"431","CLEC12A"
"432","CLEC12B"
"433","CLEC14A"
"434","CLEC17A"
"435","CLEC1A"
"436","CLEC1B"
"437","CLEC2D"
"438","CLEC4A"
"439","CLEC4C"
"440","CLEC4D"
"441","CLEC4G"
"442","CLEC4M"
"443","CLEC5A"
"444","CLEC7A"
"445","CLEC9A"
"446","CLMP"
"447","CLN3"
"448","CLRN1"
"449","CLRN2"
"450","CLSTN1"
"451","CLSTN2"
"452","CLSTN3"
"453","CMKLR1"
"454","CNNM2"
"455","CNNM3"
"456","CNNM4"
"457","CNR1"
"458","CNR2"
"459","CNTFR"
"460","CNTN1"
"461","CNTN2"
"462","CNTN3"
"463","CNTN4"
"464","CNTN5"
"465","CNTN6"
"466","CNTNAP1"
"467","CNTNAP2"
"468","CNTNAP3"
"469","CNTNAP3B"
"470","CNTNAP4"
"471","CNTNAP5"
"472","CORIN"
"473","CPD"
"474","CPM"
"475","CR1"
"476","CR2"
"477","CRB1"
"478","CRB2"
"479","CRB3"
"480","CRHR1"
"481","CRHR2"
"482","CRIM1"
"483","CRLF2"
"484","CRTAM"
"485","CSF1"
"486","CSF1R"
"487","CSF2RA"
"488","CSF2RB"
"489","CSF3R"
"490","CSMD1"
"491","CSMD2"
"492","CSPG4"
"493","CSPG5"
"494","CTLA4"
"495","CTNS"
"496","CUZD1"
"497","CX3CL1"
"498","CX3CR1"
"499","CXADR"
"500","CXCL16"
"501","CXCR1"
"502","CXCR2"
"503","CXCR3"
"504","CXCR4"
"505","CXCR5"
"506","CXCR6"
"507","CYBB"
"508","CYSLTR1"
"509","CYSLTR2"
"510","DAG1"
"511","DAGLA"
"512","DAGLB"
"513","DCBLD1"
"514","DCBLD2"
"515","DCC"
"516","DCHS1"
"517","DCHS2"
"518","DCSTAMP"
"519","DCT"
"520","DDR1"
"521","DDR2"
"522","DGCR2"
"523","DIRC2"
"524","DISP1"
"525","DISP2"
"526","DLK1"
"527","DLK2"
"528","DLL1"
"529","DLL3"
"530","DLL4"
"531","DNER"
"532","DPCR1"
"533","DPEP1"
"534","DPEP2"
"535","DPEP3"
"536","DPP10"
"537","DPP4"
"538","DPP6"
"539","DRD1"
"540","DRD2"
"541","DRD3"
"542","DRD4"
"543","DRD5"
"544","DSC1"
"545","DSC2"
"546","DSC3"
"547","DSCAM"
"548","DSCAML1"
"549","DSG1"
"550","DSG2"
"551","DSG3"
"552","DSG4"
"553","DUOX1"
"554","DUOX2"
"555","DUOXA1"
"556","DYNAP"
"557","EBP"
"558","ECE1"
"559","ECSCR"
"560","EDA"
"561","EDA2R"
"562","EDAR"
"563","EDNRA"
"564","EDNRB"
"565","EFNA1"
"566","EFNA2"
"567","EFNA3"
"568","EFNA4"
"569","EFNA5"
"570","EFNB1"
"571","EFNB2"
"572","EFNB3"
"573","EGF"
"574","EGFR"
"575","ELFN1"
"576","ELFN2"
"577","ELTD1"
"578","EMB"
"579","EMCN"
"580","EMP1"
"581","EMP2"
"582","EMP3"
"583","EMR1"
"584","EMR2"
"585","EMR3"
"586","EMR4P"
"587","ENG"
"588","ENPEP"
"589","ENPP1"
"590","ENPP3"
"591","ENPP4"
"592","ENPP5"
"593","ENPP6"
"594","ENTPD1"
"595","ENTPD3"
"596","EPCAM"
"597","EPGN"
"598","EPHA1"
"599","EPHA10"
"600","EPHA2"
"601","EPHA3"
"602","EPHA4"
"603","EPHA5"
"604","EPHA6"
"605","EPHA7"
"606","EPHA8"
"607","EPHB1"
"608","EPHB2"
"609","EPHB3"
"610","EPHB4"
"611","EPHB6"
"612","EPOR"
"613","EQTN"
"614","ERBB2"
"615","ERBB3"
"616","ERBB4"
"617","EREG"
"618","ERMAP"
"619","ERMP1"
"620","ERVFC1"
"621","ERVFRD-1"
"622","ERVK-18"
"623","ERVK-19"
"624","ERVK-21"
"625","ERVK-24"
"626","ERVK-25"
"627","ERVK-6"
"628","ERVK-7"
"629","ERVK-8"
"630","ERVK-9"
"631","ERVK13-1"
"632","ERVMER34-1"
"633","ERVPABLB-1"
"634","ERVS71-1"
"635","ERVV-1"
"636","ERVV-2"
"637","ERVW-1"
"638","ESAM"
"639","ESYT3"
"640","EVA1C"
"641","EVC2"
"642","EVI2A"
"643","EVI2B"
"644","F11R"
"645","F2R"
"646","F2RL1"
"647","F2RL2"
"648","F2RL3"
"649","F3"
"650","FAIM2"
"651","FAM171A1"
"652","FAM171A2"
"653","FAM171B"
"654","FAM174A"
"655","FAM174B"
"656","FAM187B"
"657","FAM189B"
"658","FAM26E"
"659","FAP"
"660","FAS"
"661","FASLG"
"662","FAT1"
"663","FAT2"
"664","FAT3"
"665","FAT4"
"666","FCAMR"
"667","FCAR"
"668","FCER1A"
"669","FCER2"
"670","FCGR1A"
"671","FCGR1B"
"672","FCGR1C"
"673","FCGR2A"
"674","FCGR2B"
"675","FCGR2C"
"676","FCGR3A"
"677","FCGR3B"
"678","FCGRT"
"679","FCRL1"
"680","FCRL2"
"681","FCRL3"
"682","FCRL4"
"683","FCRL5"
"684","FCRL6"
"685","FFAR1"
"686","FFAR2"
"687","FFAR3"
"688","FFAR4"
"689","FGFR1"
"690","FGFR2"
"691","FGFR3"
"692","FGFR4"
"693","FGFRL1"
"694","FKRP"
"695","FLRT1"
"696","FLRT2"
"697","FLRT3"
"698","FLT1"
"699","FLT3"
"700","FLT3LG"
"701","FLT4"
"702","FLVCR1"
"703","FLVCR2"
"704","FNDC4"
"705","FNDC5"
"706","FNDC9"
"707","FOLH1"
"708","FOLR1"
"709","FOLR2"
"710","FPR1"
"711","FPR2"
"712","FPR3"
"713","FRAS1"
"714","FREM2"
"715","FRRS1"
"716","FSHR"
"717","FURIN"
"718","FUT3"
"719","FUT4"
"720","FZD1"
"721","FZD10"
"722","FZD2"
"723","FZD3"
"724","FZD4"
"725","FZD5"
"726","FZD6"
"727","FZD7"
"728","FZD8"
"729","FZD9"
"730","G6B"
"731","GABBR1"
"732","GABBR2"
"733","GABRA1"
"734","GABRA2"
"735","GABRA3"
"736","GABRA4"
"737","GABRA5"
"738","GABRA6"
"739","GABRB1"
"740","GABRB2"
"741","GABRB3"
"742","GABRD"
"743","GABRE"
"744","GABRG1"
"745","GABRG2"
"746","GABRG3"
"747","GABRP"
"748","GABRQ"
"749","GABRR1"
"750","GABRR2"
"751","GABRR3"
"752","GALR1"
"753","GALR2"
"754","GALR3"
"755","GAS1"
"756","GCGR"
"757","GDPD2"
"758","GDPD5"
"759","GFRA1"
"760","GFRA2"
"761","GFRA3"
"762","GFRA4"
"763","GFRAL"
"764","GFY"
"765","GGT1"
"766","GGT3P"
"767","GGT7"
"768","GHR"
"769","GHRHR"
"770","GHSR"
"771","GINM1"
"772","GIPR"
"773","GJA1"
"774","GJA3"
"775","GJA4"
"776","GJB1"
"777","GJB2"
"778","GJB3"
"779","GJB4"
"780","GJB5"
"781","GJB6"
"782","GJB7"
"783","GJC2"
"784","GJC3"
"785","GJD2"
"786","GLDN"
"787","GLIPR1"
"788","GLP1R"
"789","GLP2R"
"790","GLRA1"
"791","GLRA2"
"792","GLRA3"
"793","GLRA4"
"794","GLRB"
"795","GML"
"796","GNRHR"
"797","GNRHR2"
"798","GP1BA"
"799","GP1BB"
"800","GP2"
"801","GP5"
"802","GP6"
"803","GP9"
"804","GPA33"
"805","GPBAR1"
"806","GPC1"
"807","GPC2"
"808","GPC3"
"809","GPC4"
"810","GPC5"
"811","GPC6"
"812","GPER1"
"813","GPIHBP1"
"814","GPM6A"
"815","GPM6B"
"816","GPNMB"
"817","GPR1"
"818","GPR101"
"819","GPR107"
"820","GPR108"
"821","GPR110"
"822","GPR111"
"823","GPR112"
"824","GPR113"
"825","GPR114"
"826","GPR115"
"827","GPR116"
"828","GPR119"
"829","GPR12"
"830","GPR123"
"831","GPR124"
"832","GPR125"
"833","GPR126"
"834","GPR128"
"835","GPR132"
"836","GPR133"
"837","GPR137"
"838","GPR137B"
"839","GPR137C"
"840","GPR139"
"841","GPR141"
"842","GPR142"
"843","GPR143"
"844","GPR144"
"845","GPR146"
"846","GPR148"
"847","GPR149"
"848","GPR15"
"849","GPR150"
"850","GPR151"
"851","GPR152"
"852","GPR153"
"853","GPR155"
"854","GPR156"
"855","GPR157"
"856","GPR158"
"857","GPR160"
"858","GPR161"
"859","GPR162"
"860","GPR17"
"861","GPR171"
"862","GPR173"
"863","GPR174"
"864","GPR176"
"865","GPR179"
"866","GPR18"
"867","GPR180"
"868","GPR182"
"869","GPR183"
"870","GPR19"
"871","GPR20"
"872","GPR21"
"873","GPR22"
"874","GPR25"
"875","GPR26"
"876","GPR27"
"877","GPR3"
"878","GPR31"
"879","GPR32"
"880","GPR32P1"
"881","GPR33"
"882","GPR34"
"883","GPR35"
"884","GPR37"
"885","GPR37L1"
"886","GPR39"
"887","GPR4"
"888","GPR42"
"889","GPR45"
"890","GPR50"
"891","GPR52"
"892","GPR55"
"893","GPR56"
"894","GPR6"
"895","GPR61"
"896","GPR62"
"897","GPR63"
"898","GPR64"
"899","GPR65"
"900","GPR68"
"901","GPR75"
"902","GPR78"
"903","GPR82"
"904","GPR83"
"905","GPR84"
"906","GPR85"
"907","GPR87"
"908","GPR88"
"909","GPR97"
"910","GPR98"
"911","GPRC5A"
"912","GPRC5B"
"913","GPRC5C"
"914","GPRC5D"
